timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-06-24,4.0,142.0,3444.0,2746.0,58.0,4.0,628.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,5.0,"{""id"": 3444}"
2023-06-25,4.0,20.0,2838.0,1936.0,257.0,169.0,410.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,408.0,12.0,2.0,21.0,"{""id"": 2387, ""josm"": 451}"
2023-06-26,1.0,3.0,115.0,92.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,"{""id"": 115}"
2023-06-27,2.0,7.0,975.0,570.0,2.0,304.0,61.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,"{""id"": 975}"
2023-06-28,4.0,19.0,2253.0,1811.0,9.0,44.0,376.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,376.0,1.0,0.0,2.0,"{""id"": 2253}"
2023-06-29,4.0,38.0,3113.0,2479.0,0.0,138.0,464.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,1.0,"{""id"": 3113}"
2023-06-30,3.0,35.0,6392.0,5084.0,37.0,0.0,1261.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,1.0,0.0,2.0,"{""id"": 6392}"
2023-07-01,2.0,3.0,1142.0,800.0,138.0,10.0,166.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,0.0,26.0,"{""id"": 1142}"
2023-07-02,2.0,28.0,4437.0,2982.0,236.0,414.0,730.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,730.0,20.0,0.0,6.0,"{""id"": 3680, ""josm"": 757}"
2023-07-03,1.0,2.0,557.0,447.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,"{""id"": 557}"
2023-07-04,1.0,5.0,89.0,72.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,"{""id"": 89}"
2023-07-05,4.0,21.0,2939.0,1942.0,80.0,402.0,465.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,465.0,1.0,0.0,0.0,"{""id"": 2939}"
2023-07-06,1.0,4.0,500.0,429.0,1.0,0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,1.0,"{""id"": 500}"
2023-07-07,3.0,9.0,1520.0,1281.0,17.0,21.0,194.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,"{""id"": 1520}"
2023-07-08,5.0,61.0,6013.0,5202.0,42.0,68.0,680.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,673.0,6.0,5.0,6.0,"{""id"": 6013}"
